Serial number,Time,Status,vpv1,vpv2,vpv3,vBat,SOC,ppv1,ppv2,ppv3,pCharge,pDisCharge,vacr,vacs,vact,fac,pinv,prec,pf,vepsr,vepss,vepst,feps,peps,seps,pToGrid,pToUser,pLoad,ePv1Day,ePv2Day,ePv3Day,eInvDay,eRecDay,eChgDay,eDisChgDay,eEpsDay,eToGridDay,eToUserDay,ePv1All,ePv2All,ePv3All,eInvAll,eRecAll,eChgAll,eDisChgAll,eEpsAll,eToGridAll,eToUserAll,faultCode,warningCode,tinner,tradiator1,tradiator2,tradiator3,tBat,vBus1,vBus2,maxChgCurr,maxDischgCurr,chargeVoltRef,dischgCutVolt,batStatus0,batStatus1,batStatus2,batStatus3,batStatus4,batStatus5,batStatus6,batStatus7,batStatus8,batStatus9,batStatusInv,internalFault,BatCurrent,BMSEvent1,BMSEvent2,MaxCellVoltage,MinCellVoltage,MaxCellTemp,MinCellTemp,CycleCnt,Batt Internal Volt,Vbat_Inv,vBusP,genVolt,genFreq,genPower,eGenDay,eGenAll,SOH,epsVoltL1N,epsVoltL2N,pEpsL1N,pEpsL2N,sEpsL1N,sEpsL2N,eEpsL1NDay,eEpsL2NDay,eEpsL1NAll,eEpsL2NAll,Debug140,Debug141,Debug142,Debug143,Debug144,Debug145,Debug146,Debug147,Debug148,Debug149,Debug150,Debug151,Debug152,Sum_PPV
1233022323,2025-04-29 01:26:19,Battery Grid on,10.4,13.2,369.6,45.9,10.0,0,0,0,108,0,231.9,0,0,49.92,0,182,[0],233.1,2.0,3193.7,49.92,0,0,0,343,161,0.0,0.0,0,0.0,0.0,0.0,0.1,0,0.1,0.3,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.8,46,485.8,1781.6,0x0,0x4000000,41,35,43,0,41,369.7,327.9,10,217,52,30,0x11,0x1405,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1BC,0,0,0,0,4099,0.0,44.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 06:08:31,PV&Battery Grid on,182.7,216.8,371.1,46.9,65.0,78,85,0,44,0,231.3,0,0,50.18,0,0,[0],232.6,2.0,3193.7,50.13,0,0,0,0,0,0.0,0.0,0,0.1,0.1,0.1,0.3,0,0.1,1.2,1627.7,1647.5,0,2117.7,133.2,2143.8,1641.0,46,485.8,1782.5,0x0,0x4000000,48,36,45,0,47,371.2,336.0,10,217,52,30,0x22,0x1405,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1D5,0,0,0,0,28703,4.8,46.9,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,163
1233022323,2025-04-29 06:14:32,PV&Battery Grid on,182.7,216.8,377.0,47.7,65.0,87,110,0,49,0,231.4,0,0,50.14,0,0,[0],232.6,2.0,3193.7,50.13,0,0,0,0,0,0.0,0.1,0,0.1,0.1,0.1,0.3,0,0.1,1.2,1627.7,1647.6,0,2117.7,133.2,2143.8,1641.0,46,485.8,1782.5,0x0,0x4000000,48,33,38,0,46,376.8,341.7,10,217,52,30,0x00,0x1405,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1DD,0,0,0,0,28703,4.8,47.7,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,197
1233022323,2025-04-29 06:20:33,PV&Battery Grid on,184.2,221.3,381.7,48.4,65.0,86,93,0,57,0,230.5,0,0,50.19,8,0,[0],232.0,2.0,3193.7,50.19,0,0,0,0,8,0.0,0.1,0,0.1,0.1,0.1,0.3,0,0.1,1.2,1627.7,1647.6,0,2117.7,133.2,2143.8,1641.0,46,485.8,1782.5,0x0,0x0,49,34,40,0,47,381.7,346.9,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E4,0,0,0,0,28703,4.8,48.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,179
1233022323,2025-04-29 06:26:31,PV&Battery Grid on,185.7,219.8,384.2,48.7,65.0,87,99,0,67,0,230.2,0,0,50.17,10,0,[0],231.2,2.0,3193.7,50.16,0,0,0,0,10,0.0,0.1,0,0.1,0.1,0.1,0.3,0,0.1,1.2,1627.7,1647.6,0,2117.7,133.2,2143.8,1641.0,46,485.8,1782.5,0x0,0x0,50,35,42,0,48,384.2,349.3,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E8,0,0,0,0,28703,4.8,48.7,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,186
1233022323,2025-04-29 06:32:31,PV&Battery Grid on,182.7,216.8,384.3,48.7,65.0,89,96,0,67,0,230.5,0,0,50.22,9,0,[0],231.8,2.0,3193.7,50.18,0,0,0,0,9,0.0,0.1,0,0.1,0.1,0.2,0.3,0,0.1,1.2,1627.7,1647.6,0,2117.7,133.2,2143.9,1641.0,46,485.8,1782.5,0x0,0x0,51,36,44,0,49,384.3,349.4,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E8,0,0,0,0,28703,4.8,48.8,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,185
1233022323,2025-04-29 06:38:32,PV&Battery Grid on,185.7,219.9,382.4,48.5,65.0,81,105,0,12,0,230.1,0,0,50.19,5,0,[0],231.3,2.0,3193.7,50.18,0,0,0,0,5,0.0,0.1,0,0.1,0.1,0.2,0.3,0,0.1,1.2,1627.7,1647.6,0,2117.7,133.2,2143.9,1641.0,46,485.8,1782.5,0x0,0x0,48,33,38,0,46,382.4,347.5,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E6,0,0,0,0,28703,4.8,48.5,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,186
1233022323,2025-04-29 06:44:32,PV&Battery Grid on,176.7,210.8,381.3,48.3,65.0,74,79,0,16,0,229.6,0,0,50.18,6,0,[0],231.1,2.0,3193.7,50.16,0,0,0,0,6,0.0,0.1,0,0.1,0.1,0.2,0.3,0,0.1,1.2,1627.7,1647.6,0,2117.7,133.2,2143.9,1641.0,46,485.8,1782.5,0x0,0x0,49,34,40,0,47,381.2,346.2,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E3,0,0,0,0,28703,4.8,48.3,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,153
1233022323,2025-04-29 06:50:33,PV&Battery Grid on,187.3,209.3,381.0,48.3,65.0,75,81,0,36,0,228.4,0,0,50.12,8,0,[0],229.6,2.0,3193.7,50.11,0,0,0,0,8,0.1,0.1,0,0.1,0.1,0.2,0.3,0,0.1,1.2,1627.8,1647.6,0,2117.7,133.2,2143.9,1641.0,46,485.8,1782.5,0x0,0x0,49,35,42,0,48,381.1,345.9,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E3,0,0,0,0,28703,4.8,48.3,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,156
1233022323,2025-04-29 06:56:33,PV&Battery Grid on,181.2,216.8,381.5,48.3,65.0,80,89,0,56,0,229.0,0,0,50.1,10,0,[0],230.3,2.0,3193.7,50.09,0,0,0,0,10,0.1,0.1,0,0.1,0.1,0.2,0.3,0,0.1,1.2,1627.8,1647.6,0,2117.7,133.2,2143.9,1641.0,46,485.8,1782.5,0x0,0x0,50,36,44,0,49,381.5,346.5,10,217,52,30,0x00,0x1C01,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0xCE5,0x03,0xDC,0,0x00,0x1E4,0,0,0,0,28703,4.8,48.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,169
